Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2BQIMF7CyLe2xAKzh74A4C,"0Sadg1vgvaPqGTOjxu0N6c","Gee","Gee - The First Mini Album","Girls' Generation",2009-01-05,202200,47,spotify:user:rsedit,2023-07-19T23:41:29Z,"k-pop,k-pop girl group",0.749,0.923,1,-1.014,0,0.0277,0.292,0,0.111,0.727,99.975,4
0K25zmumCzn2kFmh9zcLWy,"5JrfgZAgqAMywJpLpJM0eS","CANDY","We Hate All Kinds of Violence... - The 1st Album","H.O.T.",1996-09-07,217226,46,spotify:user:rsedit,2023-07-19T23:41:46Z,"classic k-pop",0.741,0.977,10,-2.318,1,0.044,0.134,0,0.145,0.951,119.988,4
1SwZVVH9BnXtLRLi2cbFhw,"3HqSLMAZ3g3d5poNaI7GOU","Good day","REAL","IU",2010-12-09,233586,60,spotify:user:rsedit,2023-07-19T23:42:04Z,"k-pop,pop",0.637,0.882,9,-3.034,1,0.0654,0.165,0,0.0981,0.552,128.027,4
2j1fFjWHCI9KJSwcuYAOyF,"3Nrfpe0tUJi4K4DXYWgMUX","Spring Day","You Never Walk Alone","BTS",2017-02-13,274097,73,spotify:user:rsedit,2023-07-19T23:42:33Z,"k-pop,k-pop boy group,pop",0.539,0.846,8,-3.192,1,0.0354,0.00631,0.00000171,0.13,0.462,106.994,4
189LjPCuBvhXBna8YU4lKT,"5j200KdlKsIVqjoSDIWycA","Short Hair","Cho Yongpil 1","Cho Yong Pil",1980-03-01,231317,29,spotify:user:rsedit,2023-07-19T23:43:12Z,"classic korean pop,korean singer-songwriter",0.717,0.608,7,-12.422,1,0.104,0.306,0.0000108,0.144,0.785,103.925,4
1L4d2lafz1odpIMe8va21X,"4Kxlr1PRlDKEB0ekOCyHgX","Haru Haru","Stand Up","BIGBANG",2008-08-08,256359,61,spotify:user:rsedit,2023-07-19T23:51:51Z,"k-pop,k-pop boy group",0.687,0.914,6,-5.02,1,0.0437,0.166,0,0.0858,0.675,126.001,4
26EM9sZnQkLLQxixGd88KE,"1l0mKo96Jh9HVYONcRl3Yp","I Am The Best","I Am The Best","2NE1",2014-12-09,208730,65,spotify:user:rsedit,2023-07-19T23:52:01Z,"dance pop,k-pop,k-pop girl group",0.819,0.844,0,-3.739,1,0.038,0.00767,0.00834,0.056,0.687,127.997,4
28v5XsF5Weg0SeXK3xSKcV,"52Gsa9Zypqztm2DeNkQfCm","I Know - '92 TV Edit","Seotaiji and Boys","Seo Taiji and Boys",1992-03-23,204320,30,spotify:user:rsedit,2023-07-19T23:52:58Z,"classic k-pop,korean old school hip hop",0.703,0.754,6,-5.162,1,0.0537,0.0142,0,0.211,0.408,111.801,4
62x5q8OrmPpmlA8PpjrQt3,"3Cv2vi3WTl8VZOTdrBkKdM","Tell Me","2 Different Tears","Wonder Girls",2010-05-15,219453,0,spotify:user:rsedit,2023-07-19T23:53:07Z,"k-pop,k-pop girl group",0.814,0.93,6,-5.128,0,0.0364,0.105,0.00019,0.294,0.963,127.002,4
1bWIeMPHz7gvRnyxQZX2HA,"0BD74hBusWzcPz44wFskYb","아침 이슬","아침 이슬","Yang Hee Eun",1988-03-03,194240,11,spotify:user:rsedit,2023-07-19T23:54:54Z,"classic korean pop,korean singer-songwriter",0.472,0.0935,8,-17.119,1,0.0297,0.895,0,0.108,0.14,94.972,4
5w18nowVMRZrC5Na9Vxoth,"6gzXCdfYfFe5XKhPKkYqxV","쏘리 쏘리 Sorry, Sorry","쏘리 쏘리 Sorry, Sorry - The 3rd Album","SUPER JUNIOR",2009-03-11,232333,58,spotify:user:rsedit,2023-07-19T23:56:27Z,"k-pop,k-pop boy group",0.706,0.972,11,-2.359,0,0.0352,0.0226,0.00000257,0.267,0.962,129.946,4
7nKQ5WAcjnG48knyLuo8gO,"1z4g3DjTBBZKhvAroFlhOM","Red Flavor","The Red Summer - Summer Mini Album","Red Velvet",2017-07-09,191139,67,spotify:user:rsedit,2023-07-19T23:56:49Z,"k-pop,k-pop girl group",0.709,0.917,9,-3.315,1,0.189,0.0409,0,0.0839,0.515,125.042,4
2RxfVCY2Wz34sNp3lD3PEh,"4cFsZrYUW5rEHhT1IrYXag","Beautiful Woman","From Where To Where","Shin Joong Hyun",2011-09-12,269426,15,spotify:user:rsedit,2023-07-19T23:57:33Z,"classic korean pop",0.602,0.663,2,-9.404,1,0.0698,0.367,0.241,0.165,0.771,99.217,4
